,RM. PS 05-Aset-L,,,,,,,,,,,,,,,,
,            FORMULIR IDENTIFIKASI KOLEKSI PERPUSTAKAAN,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,    Nomor:,PORS. BHS IND - NON LAI,,,
,,,,,,,,,,,,,,,,,
,NO,I S B N,DDC,Judul Buku,Jenis Terbitan,Kategori Bacaan,Negara Asal,Propinsi,Nama Bahasa,Jumlah Halaman,Tambahan isi,Pengarang/ Editor,Penerbit,Tahun Terbit,Lokasi,Jumlah Buku,Ada Fisik
,,0-8010-4270-4,220.2 HAT c,A Concordance to The Septuagint Volume 1,Konkordansi,Umum,USA,,Ibrani,704,,"Edwin Hatch, M.A., D.D.",Baker Book House,1983,2,1,1
,,0-8010-4270-4,220.2 HAT c,A Concordance to The Septuagint Volume 2 ,Konkordansi,Umum,USA,,Ibrani,1084,,"Edwin Hatch, M.A., D.D.",Baker Book House,1983,2,1,1
,3,0-564-07202-8,220.52 ROB,Concordance to The Good News Bible,Konkordansi,Umum,USA,,Inggris,1347,,David Robinson (E),The Bible Societies,1983,R. Perpustakaan,2,
,5,-,220.3 NEL,Nelson's Concordance of the Revised Standard Version Bible,Konkordansi,Umum,USA,,Inggris,2157,,Thomas Nelson & Sons,Thomas Nelson ,-,R. Perpustakaan,1,
,6,0-8407-4999-6,220.3 STR c,Strong's Exhaustive Concordance of the Bible,Konkordansi,Umum,USA,,Inggris,1297,,"James Strong, S.T.D., LL.D.",Thomas Nelson ,1979,2,1,1
,7,-,220.3 YOU c,Analytical Concordance to the Bible,Konkordansi,Umum,USA,,Inggris,1090,,"Robert Young, LL. D.",I.K. Funk Company,-,2,1,1
,,0-917006-29-1,220.2 YOU c,Young's Analytical Concordance to the Bible,Konkordansi,Umum,USA,,Inggris,115,,"Robert Young, LL. D.",Hendrickson Publishers,-,2,1,1
,,0-8028-8084-3,220.2 YOU c,Young's Analytical Concordance to the Bible,Konkordansi,Umum,USA,,Inggris,1226,,"Robert Young, LL. D.",Eerdmans,1979,2,1,1
,,,220.2 VER c ,Concordance to the Holy Bible ,Konkordansi,Umum,USA,,Inggris ,482,,King James Version,American Bible Society ,1960,2,1,1
,,,220.2 KON c,Chinese Bible Concordance,Konkordansi,Umum,Hongkong,,Cina,569,,-,The Bible Soicieties in Hong Kong,1964,2,1,1
,,,220.2 SCH k,Hand Konkordanz Zum Griechischen Neuen Testament ,Konkordansi,Umum,Germany,,Germany,534,,D.Dr. Alfred Schmoller ,Stuttgard PWB,1953,2,2,2
,,,413.029 BUL c,A Critical Lexicon and Concordance to the English and Greek New Testament,Konkordansi,Umum,USA,,Inggris,999,,"Ethelbert W. Bullinger, D.D.",Zondervan Publishing House,1976,2,1,1
,,0-310-20839-4,221.4.4 KOH c,The Hebrew English Concordance to the Old Testament,Konkordansi,Umum,USA,,Inggris,2192,,John R. Kohlenberger III Dkk,Zondervan Publishing House,1998,2,1,1
,,1-56563-208-7,221.4.4 WIG c,The Englishman's Hebrew Concordance of the Old Testament,Konkordansi,Umum,USA,,Inggris,1688,,George V. Wigram,Hendrickson Publishers,1999,2,1,1
,,,220.3 ELL c,Nelson's Complete Concordance of the Revised Standard Version Bible,Konkordansi,Umum,USA,,Inggris,2157,,John W. Ellison ,Thomas Nelson ,1957,2,1,1
,,978-1-4185-4237-5,220.5 STR c,The New Strong's Expanded Exhaustive Concordance of the Bible,Konkordansi,Umum,USA,,Inggris,1653,,"James Strong, LL.D., S.T.D.",Thomas Nelson INC.,2010,2,1,1
,,0-564-07202-8,220.3 ROB c,Concordance to the Good News Bible,Konkordansi,Umum,USA,,Inggris,1347,,David Robinson Dkk,The Bible Societies,1976,2,2,2
,,-,220.3 LIS k,Konkordanz zum Hebraischen Alten Testament,Konkordansi,Umum,Jerman,,Jerman,1672,,DR. Theol. Gerhard Lisowsky,Privileg Wurtt Bibelanstalt Stuttgart,1958,2,1,1
,,-,220.3 OMI c,Veteris Testament Concordantiae,Konkordansi,Umum,-,,-,1010,,Minor Exemplis Omissis,Lipsiae Veit Et Comp.,1896,2,1,1
,,-,220.3 AGU k,Konkordansi Alkitab Lengkap ,Konkordansi,Umum,Indonesia,,Indonesia,915,,Pdt. Markus Agung,-,-,2,1,1
,,-,220.3 WOL c,Concordantie Kitab Soetji - Basa Djawi,Konkordansi,Umum,Indonesia,Jawa,Djawi,"1,156",,J.D. Wolterbeek,Gereformeerd ING Negari Welandi,1952,2,2,2
,,,220.3 GUN k,Konkordansi Alkitab Perjanjian Baru,Konkordansi,Umum,Indonesia,,Indonesia,594,,Andhika Gunawan,Yayasan Andi Yogyakarta,1994,2,1,1
,,-,220.3 WAL k,Konkordansi Alkitab Thn. 1978,Konkordansi,Umum,Indonesia,,Indonesia,421,,Dr. D.F. Walker,Kanisius & BPK Gunung Mulia,1978,2,3,1
,,0-7734-2395-8,492.4 PRI c,Concordance of the Hebrew Accents In the Hebrew Bible Volume I,Konkordansi,Umum,USA,,Inggris,274,,James D. Price,Edwin Mellen Press,1996,2,1,1
,,,225.3 LOU,Greek-English Lexicon Vol 1,,Umum,USA,,Yunani - Inggris,843,Dilengkapi Dengan Kamus Yunani Dan Peta,Johannes P. Louw,UBS,1988,R. Perpustakaan,3,
,,0 8267-0342-9,225.3 LOU,Greek-English Lexicon Vol 2 ,,Dewasa,USA,,Inggris,375,,Louw & Nida,UBS,1988,R. Perpustakaan,4,
,,0-913573-20-5,492.4 BRO b,The New Brown - Driver - Briggs - Gesenius Hebrew and English Lexicon with an Appendix Containing the Biblical Aramaic,Konkordansi,Umum,USA,,Inggris,1118,,Francis Brown Dkk,Hendrickson Publishers,1970,3,1,1
,,,492.4 BRO b,The New Brown - Driver - Briggs - Gesenius Hebrew and English Lexicon with an Appendix Containing the Biblical Aramaic,Konkordansi,Umum,USA,,Inggris,1127,,Francis Brown Dkk,Associated Publisher and Authors,1978,3,1,1
,,978-1-56563-206-6,492.43 BRO b,The Brown - Driver - Briggs Hebrew and English Lexicon,Konkordansi,Umum,USA,,Inggris,1212,,Francis Brown Dkk,Hendrickson Publishers,2010,3,3,3
,,978-979-687-224-4,220.3 WAL k,Konkordansi Alkitab Thn. 2011,Konkordansi,Umum,Indonesia,,Indonesia,530,,Dr. D.F. Walker,BPK Gunung Mulia,2011,2,1,1
,,979-415-766-X,220.3 WAL k,Konkordansi Alkitab Thn. 2000,Konkordansi,Umum,Indonesia,,Indonesia,510,,Dr. D.F. Walker,BPK Gunung Mulia,2000,2,1,1
,,979-687-211-0,220.3 WAL k,Konkordansi Alkitab Thn. 2003,Konkordansi,Umum,Indonesia,,Indonesia,510,,Dr. D.F. Walker,BPK Gunung Mulia,2003,2,1,1
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,JUMLAH,,,45,33
,,,,,,,,,,,,,,,,,
,"           Jakarta, 28 September 2016",,,,,,,,,,,,,,,,
,                       ,                              Yang membuat,,,,,,,,,,,                                                             Mengetahui,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,                              (Nomi Dora Laimu),,,,,,,,,,                                        (Bambang Sitompul),,,,,
,,                               Staf Perpustakaan,,,,,,,,,,                                         Kabid Permus,,,,,